Rank,Host,Port,TLS,Transport,Latency Avg,Speed Mbps,Status,Error
1273,45.130.125.194,8443,tls,xhttp,2.500772476196289,0.0,FAILED,Latency test failed
1274,199.232.197.131,80,none,ws,2.5022029876708984,0.0,FAILED,Latency test failed
1275,45.130.125.160,443,tls,ws,2.5033950805664062,0.0,FAILED,Latency test failed
1276,45.130.125.194,8443,tls,xhttp,2.508401870727539,0.0,FAILED,Latency test failed
1277,104.21.43.44,80,none,ws,2.508401870727539,0.0,FAILED,Latency test failed
1278,209.46.30.149,443,tls,ws,2.5103092193603516,0.0,FAILED,Latency test failed
1279,104.19.50.74,443,tls,ws,2.5119781494140625,0.0,FAILED,Latency test failed
1280,172.67.158.125,443,tls,ws,2.512216567993164,0.0,FAILED,Latency test failed
1281,45.130.125.194,8443,tls,xhttp,2.515077590942383,0.0,FAILED,Latency test failed
1282,104.18.34.88,443,tls,ws,2.5174617767333984,0.0,FAILED,Latency test failed
1283,198.41.209.210,443,tls,ws,2.518892288208008,0.0,FAILED,Latency test failed
1284,188.114.97.6,443,tls,ws,2.518892288208008,0.0,FAILED,Latency test failed
1285,172.64.152.33,2096,tls,ws,2.5191307067871094,0.0,FAILED,Latency test failed
1286,45.130.125.194,8443,tls,xhttp,2.5196075439453125,0.0,FAILED,Latency test failed
1287,104.18.16.56,8080,none,tcp,2.5212764739990234,0.0,FAILED,Latency test failed
1288,45.130.125.160,443,tls,ws,2.521991729736328,0.0,FAILED,Latency test failed
1289,45.130.125.194,8443,tls,xhttp,2.5229454040527344,0.0,FAILED,Latency test failed
1290,185.146.173.237,80,none,tcp,2.5229454040527344,0.0,FAILED,Latency test failed
1291,188.114.97.6,2053,tls,xhttp,2.5238990783691406,0.0,FAILED,Latency test failed
1292,104.26.0.7,443,none,tcp,2.5267601013183594,0.0,FAILED,Latency test failed
1293,188.114.97.6,443,tls,ws,2.5284290313720703,0.0,FAILED,Latency test failed
1294,104.18.32.47,443,tls,ws,2.534627914428711,0.0,FAILED,Latency test failed
1295,104.16.163.32,443,tls,ws,2.5358200073242188,0.0,FAILED,Latency test failed
1296,141.193.213.21,443,tls,xhttp,2.5377273559570312,0.0,FAILED,Latency test failed
1297,108.162.192.75,443,tls,ws,2.537965774536133,0.0,FAILED,Latency test failed
1298,162.159.81.132,443,tls,ws,2.537965774536133,0.0,FAILED,Latency test failed
1299,188.114.97.6,443,tls,ws,2.5403499603271484,0.0,FAILED,Latency test failed
1300,45.130.125.194,8443,tls,xhttp,2.5403499603271484,0.0,FAILED,Latency test failed
